baseline: 169 run, 2 skipped (--skip-slow)
[ 116/169] PASS Zone2    0129b.json               via=aog:success                   1ms
[ 117/169] PASS Zone2    0503.json                via=aog:success                   0ms
[ 118/169] PASS Zone2    0565.json                via=aog:success                   0ms
[ 119/169] PASS Zone2    0568.json                via=aog:success                   0ms
[ 120/169] PASS Zone2    0639.json                via=aog:success                   0ms
[ 121/169] PASS Zone2    0785.json                via=aog:success                   0ms
[ 122/169] PASS Zone2    0786.json                via=aog:success                 105ms
[ 123/169] PASS Zone2    0797.json                via=aog:success                   1ms
[ 124/169] PASS Zone2    0798.json                via=aog:success                   0ms
[ 125/169] PASS Zone2    0808.json                via=aog:success                 261ms
[ 126/169] PASS Zone2    1184.json                via=aog:success                   0ms
[ 127/169] PASS Zone2    0827.json                via=aog:success                  26ms
[ 128/169] PASS Zone2    0498.json                via=aog:success                   0ms
[ 129/169] PASS Zone2    0577.json                via=aog:success                   0ms
[ 130/169] PASS Zone2    0671.json                via=aog:success                   0ms
[ 131/169] PASS Zone2    0842.json                via=aog:success                   0ms
[ 132/169] PASS Zone2    0859.json                via=aog:success                   1ms
[ 133/169] PASS Zone2    1255.json                via=aog:success                   0ms
[ 134/169] PASS Zone3    0021.json                via=aog:success                   2ms
[ 135/169] PASS Zone3    0033.json                via=aog:success                   0ms
[ 136/169] PASS Zone3    0407.json                via=aog:success                   0ms
[ 137/169] PASS Zone3    0613.json                via=aog:success                   0ms
[ 138/169] PASS Zone3    0668.json                via=aog:success                   0ms
[ 139/169] PASS Zone3    0940.json                via=aog:success                  11ms
[ 140/169] PASS Zone3    1154.json                via=aog:success                   1ms
[ 141/169] PASS Zone3    1266.json                via=aog:success                   1ms
[ 142/169] PASS Zone3    1295.json                via=aog:success                   0ms
[ 143/169] PASS Zone1    0732.json                via=aog:timeout→rose:success   3000ms
[ 144/169] PASS Zone1    0153.json                via=aog:success                3279ms
[ 145/169] PASS Zone3    0870.json                via=aog:success                4457ms
[ 146/169] FAIL Zone3    0976.json                via=aog:timeout→pieces:exhausted→backtrack:exhausted  19545ms  No solution found
[ 147/169] FAIL Zone3    0606.json                via=aog:timeout→pieces:timeout→backtrack:exhausted  36327ms  No solution found
[ 148/169] PASS Zone3    0996.json                via=aog:success                  81ms
[ 149/169] PASS Zone3    0917c.json               via=aog:success                 791ms
[ 150/169] PASS Zone3    0918b.json               via=aog:success                 469ms
[ 151/169] PASS Zone3    0843.json                via=aog:success                   9ms
[ 152/169] PASS Zone3    1071.json                via=aog:success                   1ms
[ 153/169] PASS Zone3    1072.json                via=aog:success                   2ms
[ 154/169] FAIL Zone3    0994.json                via=aog:timeout→pieces:timeout→backtrack:exhausted  24039ms  No solution found
[ 155/169] PASS Zone3    1387.json                via=aog:success                  68ms
[ 156/169] PASS Zone3    0154.json                via=aog:success                   0ms
[ 157/169] PASS Zone3    0268.json                via=aog:success                  83ms
[ 158/169] PASS Zone3    0653.json                via=aog:success                  66ms
[ 159/169] FAIL Zone3    1215.json                via=aog:timeout→pieces:timeout→backtrack:exhausted  43617ms  No solution found
[ 160/169] PASS Zone3    0941.json                via=aog:success                   2ms
[ 161/169] PASS Zone3    0988.json                via=aog:success                  83ms
[ 162/169] PASS Zone3    1151.json                via=aog:success                  64ms
[ 163/169] FAIL Zone3    1093.json                via=aog:timeout→pieces:exhausted→backtrack:exhausted  12091ms  No solution found
[ 164/169] FAIL Zone1    1435.json                via=-                             0ms  Rust solver timed out after 12s
[ 165/169] FAIL Zone1    1099.json                via=-                             0ms  Rust solver timed out after 12s
[ 166/169] FAIL Zone1    1098.json                via=-                             0ms  Rust solver timed out after 12s
[ 167/169] FAIL Zone1    1100.json                via=-                             0ms  Rust solver timed out after 12s
[ 168/169] FAIL Zone2    0745.json                via=-                             0ms  Rust solver timed out after 12s
[ 169/169] PASS Zone3    0825.json                via=aog:success               11789ms

结果: 159/169 通过
  Zone1: 80 / 84
  Zone2: 55 / 56
  Zone3: 24 / 29

回归对比: REGRESSION=0  NEW=0  NEW FILE=0  SKIPPED-SLOW=2
失败:
  0976.json: No solution found
  0606.json: No solution found
  0994.json: No solution found
  1215.json: No solution found
  1093.json: No solution found
  1435.json: Rust solver timed out after 12s
  1099.json: Rust solver timed out after 12s
  1098.json: Rust solver timed out after 12s
  1100.json: Rust solver timed out after 12s
  0745.json: Rust solver timed out after 12s
